01/25/23 18:31:42; Start programm by role; 2
01/25/23 18:38:58; Start programm by role; 2
01/25/23 18:40:50; Start programm by role; 1
01/25/23 18:41:01; Start programm by role; 2
01/25/23 18:42:19; Start programm by role; 2
01/25/23 18:42:55; Start programm by role; 2
01/25/23 18:43:58; Start programm by role; 2
01/25/23 18:44:32; Start programm by role; 2
01/25/23 18:46:48; Start programm by role; 2
01/25/23 18:48:16; Start programm by role; 2
01/25/23 18:48:56; Start programm by role; 2
01/25/23 18:49:44; Start programm by role; 2
01/25/23 18:50:00; Start programm by role; 2
01/25/23 18:50:30; Start programm by role; 1
01/25/23 18:53:28; Start programm by role; 1
01/25/23 18:54:21; Start programm by role; 1
01/25/23 18:55:18; Start programm by role; 1
01/25/23 18:56:16; Start programm by role; 1
01/25/23 18:57:20; Start programm by role; 1
01/25/23 18:59:32; Start programm by role; 1
01/25/23 19:34:49; Start programm by role; 2
01/25/23 19:36:18; Start programm by role; 1
01/25/23 19:37:08; Start programm by role; 1
01/25/23 19:38:18; Start programm by role; 1
01/25/23 19:38:58; Start programm by role; 1
01/25/23 19:41:56; Start programm by role; 1
01/25/23 19:42:50; Start programm by role; 1
01/25/23 19:43:24; Start programm by role; 1
01/25/23 19:44:47; Start programm by role; 1
01/25/23 19:47:19; Start programm by role; 1
01/25/23 21:13:43; Start programm by role; 1
01/25/23 21:15:28; Start programm by role; 1
01/25/23 21:16:39; Start programm by role; 1
01/25/23 21:16:52; Start programm by role; 1
01/25/23 21:17:23; Start programm by role; 1
01/25/23 21:18:08; Start programm by role; 3
01/25/23 21:18:17; Start programm by role; 1
01/25/23 21:19:08; Start programm by role; 1
01/25/23 21:19:37; Start programm by role; 2
01/25/23 21:21:36; Start programm by role; 2
01/25/23 21:28:03; Start programm by role; 2
01/25/23 21:28:38; Start programm by role; 2
01/25/23 21:29:31; Start programm by role; 2
01/25/23 21:30:19; Start programm by role; 2
01/25/23 21:37:10; Start programm by role; 1
01/25/23 21:38:32; Start programm by role; 1
01/25/23 21:39:15; Start programm by role; 1
01/25/23 21:40:13; Start programm by role; 1
01/25/23 21:41:02; Start programm by role; 1
01/25/23 21:41:17; Start programm by role; 1
01/25/23 21:42:35; Start programm by role; 1
01/25/23 21:43:45; Start programm by role; 1
01/25/23 21:44:21; Start programm by role; 1
01/25/23 21:45:02; Start programm by role; 1
01/25/23 21:45:56; Start programm by role; 1
01/25/23 21:46:13; Start programm by role; 1
01/25/23 21:47:27; Start programm by role; 1
01/25/23 21:48:32; Start programm by role; 1
01/25/23 21:50:07; Start programm by role; 1
01/25/23 21:51:05; Start programm by role; 1
01/25/23 21:51:44; Start programm by role; 1
01/25/23 21:51:57; Start programm by role; 1
01/25/23 21:53:57; Start programm by role; 1
01/25/23 21:55:18; Start programm by role; 1
01/25/23 21:56:41; Start programm by role; 1
01/25/23 21:57:01; Start programm by role; 1
01/25/23 21:59:11; Start programm by role; 1
01/25/23 21:59:47; Start programm by role; 1
01/26/23 09:00:21; Start programm by role; 1
01/26/23 09:09:42; Start programm by role; 2
01/26/23 09:10:08; Start programm by role; 1
01/26/23 09:11:10; Start programm by role; 1
01/26/23 09:34:48; Start programm by role; 1
01/26/23 09:35:40; Start programm by role; & C:/Users/16-jl/AppData/Local/Programs/Python/Python311/python.exe c:/Users/16-jl/Study/Pythonics/HomeWorks/HomeWork_8/main.py
01/26/23 09:35:42; Start programm by role; 1
01/26/23 09:38:26; Start programm by role; 1
01/26/23 09:38:48; Start programm by role; 1
01/26/23 09:39:50; Start programm by role; 1
01/26/23 09:40:35; Start programm by role; 1
01/26/23 09:45:26; Start programm by role; 3
01/26/23 09:45:33; Start programm by role; 1
